replication/seed,Step,total_adapted_households,total_dryproofed_households,total_wetproofed_households,total_elevated_households,total_reduced_actual_damage,total_actual_damage,total_expected_reduced_estimated_damage
0,0,1,0,1,0,0,0,19395.68
0,1,1,0,1,0,0,0,22892.78
0,2,1,0,1,0,0,0,24991.039999999997
0,3,1,0,1,0,0,0,27788.72
0,4,1,0,1,0,0,0,30026.864
0,5,1,0,1,0,0,0,32684.660000000003
0,6,1,0,1,0,0,0,35182.588571428576
0,7,1,0,1,0,0,0,37580.600000000006
0,8,1,0,1,0,0,0,39601.146666666675
0,9,1,0,1,0,0,0,41637.236000000004
1,0,0,0,0,0,0,0,0.0
1,1,0,0,0,0,0,0,0.0
1,2,0,0,0,0,0,0,0.0
1,3,0,0,0,0,0,0,0.0
1,4,0,0,0,0,0,0,0.0
1,5,0,0,0,0,0,0,0.0
1,6,0,0,0,0,0,0,0.0
1,7,0,0,0,0,0,0,0.0
1,8,0,0,0,0,0,0,0.0
1,9,0,0,0,0,0,0,0.0
